year,degree_of_injury,industry,sub_industry,incident_type,incident_agent,incident_agent_sub_type,no._of_injuries
2011,Major,Accommodation & Food Services,Food & Beverage Service Acitivities,"Falls - Slips, Trips & Falls",Means of Access,Means of Access - Others,1
2011,Major,Accommodation & Food Services,Food & Beverage Service Acitivities,"Falls - Slips, Trips & Falls",Physical Workplace,Physical Workplace - Floor/Level Surfaces,4
2011,Major,Accommodation & Food Services,Food & Beverage Service Acitivities,Over-exertion/Strenuous Movements,Others,Others - Goods/Cargo,1
2011,Major,Accommodation & Food Services,Food & Beverage Service Acitivities,Striking against Objects,Others,Others - Furniture and Fittings,1
2011,Major,Accommodation & Food Services,Food & Beverage Service Acitivities,Struck by Moving Objects,Lifting Equipment Including Cranes,Lifting Equipment Including Cranes - Others,1
2011,Major,Administrative & Support Services,Cleaning & Landscape Maintenance Activities,Exposure to Extreme Temperatures,Others,Others,1
2011,Major,Administrative & Support Services,Cleaning & Landscape Maintenance Activities,Falls - Falls from Height,Physical Workplace,Physical Workplace - Roof,1
2011,Major,Administrative & Support Services,Cleaning & Landscape Maintenance Activities,"Falls - Slips, Trips & Falls",Physical Workplace,Physical Workplace - Floor/Level Surfaces,3
2011,Major,Administrative & Support Services,Cleaning & Landscape Maintenance Activities,"Falls - Slips, Trips & Falls",Vehicles,Vehicles - Motor vehicles,1
2011,Major,Administrative & Support Services,Cleaning & Landscape Maintenance Activities,Striking against Objects,Others,Others,1
2011,Major,Administrative & Support Services,Employment Activities,Struck by Moving Objects,Industrial Machines,Industrial Machines - Others,1
2011,Major,Administrative & Support Services,"Office Administrative, Office Support & Other Business Support Activities",Caught in/ betw Objects,Others,Others - Furniture and Fittings,1
2011,Major,Administrative & Support Services,"Office Administrative, Office Support & Other Business Support Activities",Exposure to Hazardous Substances,Others,"Others - Dusts, Gas, Liquids and Chemicals",1
2011,Major,Administrative & Support Services,"Office Administrative, Office Support & Other Business Support Activities","Falls - Slips, Trips & Falls",Others,Others - Furniture and Fittings,1
2011,Major,Administrative & Support Services,"Office Administrative, Office Support & Other Business Support Activities","Falls - Slips, Trips & Falls",Physical Workplace,Physical Workplace - Floor/Level Surfaces,2
2011,Major,Administrative & Support Services,"Office Administrative, Office Support & Other Business Support Activities","Falls - Slips, Trips & Falls",Vehicles,Vehicles - Forklifts,1
2011,Major,Administrative & Support Services,"Office Administrative, Office Support & Other Business Support Activities",Striking against Objects,Vehicles,Vehicles - Motor vehicles,1
2011,Major,Administrative & Support Services,"Office Administrative, Office Support & Other Business Support Activities",Struck by Falling Objects,Others,Others - Wooden Items,1
2011,Major,Administrative & Support Services,"Office Administrative, Office Support & Other Business Support Activities",Struck by Moving Objects,Pressurised Equipments,Pressurised Equipments - Pressurised Piping /  Accessories,1
2011,Major,Administrative & Support Services,Rental & Leasing Activities,Exposure to Electric current,Industrial Machines,Industrial Machines - Others,1
2011,Major,Administrative & Support Services,Rental & Leasing Activities,Exposure to Electric current,Others,Others,2
2011,Major,Administrative & Support Services,Rental & Leasing Activities,Struck by Falling Objects,Others,Others - Metal Items (excluding knives/needles),1
2011,Major,"Community, Social & Personal Services",Education,Caught in/ betw Objects,Industrial Machines,Industrial Machines - Others,1
2011,Major,"Community, Social & Personal Services",Education,Falls - Falls from Height,Physical Workplace,Physical Workplace - Roof,1
2011,Major,"Community, Social & Personal Services",Education,"Falls - Slips, Trips & Falls",Physical Workplace,Physical Workplace - Floor/Level Surfaces,2
2011,Major,"Community, Social & Personal Services",Education,"Falls - Slips, Trips & Falls",Vehicles,Vehicles - Motor vehicles,1
2011,Major,"Community, Social & Personal Services",Education,Over-exertion/Strenuous Movements,Others,Others,1
2011,Major,"Community, Social & Personal Services",Education,Struck by Moving Objects,Others,Others,1
2011,Major,"Community, Social & Personal Services",Education,Struck by Moving Objects,Vehicles,Vehicles - Motor vehicles,1
2011,Major,"Community, Social & Personal Services",Health Activities,Exposure to Extreme Temperatures,Others,Others,1
2011,Major,"Community, Social & Personal Services",Health Activities,"Falls - Slips, Trips & Falls",Others,Others - Furniture and Fittings,1
2011,Major,"Community, Social & Personal Services",Health Activities,"Falls - Slips, Trips & Falls",Physical Workplace,Physical Workplace - Floor/Level Surfaces,1
2011,Major,"Community, Social & Personal Services",Health Activities,Others,Others,Others,1
2011,Major,"Community, Social & Personal Services",Health Activities,Over-exertion/Strenuous Movements,Others,Others - Human Factors,1
2011,Major,"Community, Social & Personal Services",Health Activities,Physical Assault,Others,Others - Human Factors,1
2011,Major,"Community, Social & Personal Services",Health Activities,Striking against Objects,Others,Others,1
2011,Major,"Community, Social & Personal Services",Health Activities,Struck by Moving Objects,Others,Others - Human Factors,1
2011,Major,"Community, Social & Personal Services","Libraries, Archives, Museums & Other Cultural Activities",Others,Others,Others,1
2011,Major,"Community, Social & Personal Services",Activities of Membership Organisations,Exposure to Extreme Temperatures,Others,Others - Hot scalding liquid / Steam,1
2011,Major,"Community, Social & Personal Services",Other Personal Service Activities,Exposure to Biological Materials,Others,Others,1
2011,Major,"Community, Social & Personal Services",Other Personal Service Activities,Exposure to Biological Materials,Others,"Others - Animals, Plants and Insects",2
2011,Major,"Community, Social & Personal Services",Other Personal Service Activities,"Falls - Slips, Trips & Falls",Others,Others,1
2011,Major,"Community, Social & Personal Services",Other Personal Service Activities,"Falls - Slips, Trips & Falls",Others,"Others - Animals, Plants and Insects",1
2011,Major,"Community, Social & Personal Services",Other Personal Service Activities,Striking against Objects,Others,Others,1
2011,Major,"Community, Social & Personal Services",Other Personal Service Activities,Struck by Falling Objects,Industrial Machines,Industrial Machines - Others,1
2011,Major,"Community, Social & Personal Services",Other Personal Service Activities,Struck by Falling Objects,Others,Others,1
2011,Major,"Community, Social & Personal Services",Public Administration & Defence,Exposure to Electric current,Others,Others,1
2011,Major,"Community, Social & Personal Services",Public Administration & Defence,Struck by Moving Objects,Others,Others,1
2011,Major,"Community, Social & Personal Services",Repair & Maintenance of Vehicles,Caught in/ betw Objects,Industrial Machines,Industrial Machines - Drilling Machine,1
2011,Major,"Community, Social & Personal Services",Repair & Maintenance of Vehicles,Caught in/ betw Objects,Vehicles,Vehicles - Motor vehicles,1
2011,Major,"Community, Social & Personal Services",Repair & Maintenance of Vehicles,Caught in/ betw Objects,Vehicles,Vehicles - Others,1
2011,Major,"Community, Social & Personal Services",Repair & Maintenance of Vehicles,"Falls - Slips, Trips & Falls",Vehicles,Vehicles - Motor vehicles,1
2011,Major,"Community, Social & Personal Services",Repair & Maintenance of Vehicles,Others,Others,Others,1
2011,Major,"Community, Social & Personal Services",Repair & Maintenance of Vehicles,Over-exertion/Strenuous Movements,Others,Others - Goods/Cargo,1
2011,Major,"Community, Social & Personal Services",Sports Activities & Amusement & Recreation Activities,Exposure to Biological Materials,Others,Others,1
2011,Major,Construction,Civil Engineering,Caught in/ betw Objects,Industrial Hand Tools,Industrial Hand Tools - Electrical hand tools,1
2011,Major,Construction,Civil Engineering,Caught in/ betw Objects,Industrial Machines,Industrial Machines - Bar Benders,1
2011,Major,Construction,Civil Engineering,Caught in/ betw Objects,Industrial Machines,Industrial Machines - Others,1
2011,Major,Construction,Civil Engineering,Caught in/ betw Objects,Lifting Equipment Including Cranes,Lifting Equipment Including Cranes - Lifting appliances / gears,1
2011,Major,Construction,Civil Engineering,Caught in/ betw Objects,Others,Others - Metal Items (excluding knives/needles),1
2011,Major,Construction,Civil Engineering,Caught in/ betw Objects,Vehicles,Vehicles - Excavators,1
2011,Major,Construction,Civil Engineering,Falls - Falls from Height,Means of Access,Means of Access - Scaffold,1
2011,Major,Construction,Civil Engineering,"Falls - Slips, Trips & Falls",Lifting Equipment Including Cranes,Lifting Equipment Including Cranes - Mobile / Crawler Cranes,1
2011,Major,Construction,Civil Engineering,"Falls - Slips, Trips & Falls",Physical Workplace,Physical Workplace - Floor/Level Surfaces,1
2011,Major,Construction,Civil Engineering,"Falls - Slips, Trips & Falls",Vehicles,Vehicles - Motor vehicles,1
2011,Major,Construction,Civil Engineering,"Falls - Slips, Trips & Falls",Vehicles,Vehicles - Others,1
2011,Major,Construction,Civil Engineering,Struck by Falling Objects,Industrial Machines,Industrial Machines - Drilling Machine,1
2011,Major,Construction,Civil Engineering,Struck by Falling Objects,Others,Others - Metal Items (excluding knives/needles),1
2011,Major,Construction,Civil Engineering,Struck by Moving Objects,Lifting Equipment Including Cranes,Lifting Equipment Including Cranes - Mobile Work Platform,1
2011,Major,Construction,Civil Engineering,Struck by Moving Objects,Others,Others,1
2011,Major,Construction,Civil Engineering,Struck by Moving Objects,Vehicles,Vehicles - Excavators,2
2011,Major,Construction,Construction of Buildings,Caught in/ betw Objects,Industrial Hand Tools,Industrial Hand Tools - Electrical hand tools,1
2011,Major,Construction,Construction of Buildings,Caught in/ betw Objects,Industrial Machines,Industrial Machines - Others,4
2011,Major,Construction,Construction of Buildings,Caught in/ betw Objects,Industrial Machines,Industrial Machines - Saws,1
2011,Major,Construction,Construction of Buildings,Caught in/ betw Objects,Industrial Machines,Industrial Machines - Transmission Machines,1
2011,Major,Construction,Construction of Buildings,Caught in/ betw Objects,Lifting Equipment Including Cranes,Lifting Equipment Including Cranes - Lifting appliances / gears,1
2011,Major,Construction,Construction of Buildings,Caught in/ betw Objects,Lifting Equipment Including Cranes,Lifting Equipment Including Cranes - Overhead Cranes,1
2011,Major,Construction,Construction of Buildings,Caught in/ betw Objects,Lifting Equipment Including Cranes,Lifting Equipment Including Cranes - Tower Cranes,1
2011,Major,Construction,Construction of Buildings,Caught in/ betw Objects,Vehicles,Vehicles - Motor vehicles,1
2011,Major,Construction,Construction of Buildings,Collapse/Failure of Structure & Equipment,Others,Others,2
2011,Major,Construction,Construction of Buildings,Cut/Stabbed by Objects,Industrial Hand Tools,Industrial Hand Tools - Electrical hand tools,1
2011,Major,Construction,Construction of Buildings,Cut/Stabbed by Objects,Industrial Machines,Industrial Machines - Saws,3
2011,Major,Construction,Construction of Buildings,Exposure to Electric current,Industrial Machines,Industrial Machines - Others,1
2011,Major,Construction,Construction of Buildings,Exposure to Electric current,Others,Others,2
2011,Major,Construction,Construction of Buildings,Exposure to Extreme Temperatures,Others,Others - Explosives / Flammable Substances,1
2011,Major,Construction,Construction of Buildings,Falls - Falls from Height,Means of Access,Means of Access - Ladders,9
2011,Major,Construction,Construction of Buildings,Falls - Falls from Height,Means of Access,Means of Access - Others,2
2011,Major,Construction,Construction of Buildings,Falls - Falls from Height,Means of Access,Means of Access - Scaffold,7
2011,Major,Construction,Construction of Buildings,Falls - Falls from Height,Physical Workplace,Physical Workplace - Form Work,3
2011,Major,Construction,Construction of Buildings,Falls - Falls from Height,Physical Workplace,Physical Workplace - Structures,9
2011,Major,Construction,Construction of Buildings,"Falls - Slips, Trips & Falls",Industrial Machines,Industrial Machines - Drilling Machine,1
2011,Major,Construction,Construction of Buildings,"Falls - Slips, Trips & Falls",Lifting Equipment Including Cranes,Lifting Equipment Including Cranes - Lifting appliances / gears,1
2011,Major,Construction,Construction of Buildings,"Falls - Slips, Trips & Falls",Lifting Equipment Including Cranes,Lifting Equipment Including Cranes - Others,1
2011,Major,Construction,Construction of Buildings,"Falls - Slips, Trips & Falls",Lifting Equipment Including Cranes,Lifting Equipment Including Cranes - Piling machines,1
2011,Major,Construction,Construction of Buildings,"Falls - Slips, Trips & Falls",Means of Access,Means of Access - Stairs or Steps,5
2011,Major,Construction,Construction of Buildings,"Falls - Slips, Trips & Falls",Others,Others,2
2011,Major,Construction,Construction of Buildings,"Falls - Slips, Trips & Falls",Others,Others - Wooden Items,1
2011,Major,Construction,Construction of Buildings,"Falls - Slips, Trips & Falls",Physical Workplace,Physical Workplace - Confined Space,1
2011,Major,Construction,Construction of Buildings,"Falls - Slips, Trips & Falls",Physical Workplace,Physical Workplace - Floor/Level Surfaces,7
2011,Major,Construction,Construction of Buildings,"Falls - Slips, Trips & Falls",Physical Workplace,Physical Workplace - Form Work,2
2011,Major,Construction,Construction of Buildings,"Falls - Slips, Trips & Falls",Physical Workplace,Physical Workplace - Structures,3
2011,Major,Construction,Construction of Buildings,"Falls - Slips, Trips & Falls",Vehicles,Vehicles - Motor vehicles,3
2011,Major,Construction,Construction of Buildings,Striking against Objects,Others,Others,1
2011,Major,Construction,Construction of Buildings,Struck by Falling Objects,Industrial Hand Tools,Industrial Hand Tools - Non-electrical hand tools,1
2011,Major,Construction,Construction of Buildings,Struck by Falling Objects,Lifting Equipment Including Cranes,Lifting Equipment Including Cranes - Lifting appliances / gears,1
2011,Major,Construction,Construction of Buildings,Struck by Falling Objects,Others,Others,1
2011,Major,Construction,Construction of Buildings,Struck by Falling Objects,Others,Others - Glass Items,1
2011,Major,Construction,Construction of Buildings,Struck by Falling Objects,Others,Others - Metal Items (excluding knives/needles),5
2011,Major,Construction,Construction of Buildings,Struck by Falling Objects,Others,Others - Wooden Items,1
2011,Major,Construction,Construction of Buildings,Struck by Moving Objects,Industrial Hand Tools,Industrial Hand Tools - Electrical hand tools,2
2011,Major,Construction,Construction of Buildings,Struck by Moving Objects,Industrial Machines,Industrial Machines - Others,2
2011,Major,Construction,Construction of Buildings,Struck by Moving Objects,Others,Others,1
2011,Major,Construction,Construction of Buildings,Struck by Moving Objects,Others,Others - Goods/Cargo,1
2011,Major,Construction,Construction of Buildings,Struck by Moving Objects,Vehicles,Vehicles - Excavators,1
2011,Major,Construction,Construction of Buildings,Struck by Moving Objects,Vehicles,Vehicles - Motor vehicles,2
2011,Major,Construction,Construction of Buildings,Struck by Moving Objects,Vehicles,Vehicles - Others,1
2011,Major,Construction,Specialised Construction Activites,Caught in/ betw Objects,Others,Others - Metal Items (excluding knives/needles),1
2011,Major,Construction,Specialised Construction Activites,Exposure to Electric current,Others,Others,1
2011,Major,Construction,Specialised Construction Activites,Falls - Falls from Height,Means of Access,Means of Access - Ladders,3
2011,Major,Construction,Specialised Construction Activites,Falls - Falls from Height,Means of Access,Means of Access - Others,1
2011,Major,Construction,Specialised Construction Activites,Falls - Falls from Height,Physical Workplace,Physical Workplace - Structures,2
2011,Major,Construction,Specialised Construction Activites,"Falls - Slips, Trips & Falls",Means of Access,Means of Access - Stairs or Steps,1
2011,Major,Construction,Specialised Construction Activites,"Falls - Slips, Trips & Falls",Others,Others - Metal Items (excluding knives/needles),1
2011,Major,Construction,Specialised Construction Activites,"Falls - Slips, Trips & Falls",Physical Workplace,Physical Workplace - Floor/Level Surfaces,2
2011,Major,Construction,Specialised Construction Activites,"Falls - Slips, Trips & Falls",Vehicles,Vehicles - Excavators,1
2011,Major,Construction,Specialised Construction Activites,Fires & Explosion,Industrial Machines,Industrial Machines - Others,1
2011,Major,Construction,Specialised Construction Activites,Over-exertion/Strenuous Movements,Physical Workplace,Physical Workplace - Form Work,1
2011,Major,Construction,Specialised Construction Activites,Struck by Moving Objects,Others,Others - Ceramic Items,1
2011,Major,"Electricity, Gas and Air-Conditioning Supply","Electricity, Gas and Air-Conditioning Supply",Falls - Falls from Height,Means of Access,Means of Access - Scaffold,1
2011,Major,"Electricity, Gas and Air-Conditioning Supply","Electricity, Gas and Air-Conditioning Supply",Struck by Falling Objects,Others,Others,1
2011,Major,Financial & Insurance Services,Activities Auxiliary to Financial Service & Insurance Activites,"Falls - Slips, Trips & Falls",Physical Workplace,Physical Workplace - Floor/Level Surfaces,1
2011,Major,Financial & Insurance Services,"Financial Service Activities, Except Insurance & Pension Funding","Falls - Slips, Trips & Falls",Industrial Machines,Industrial Machines - Others,1
2011,Major,Financial & Insurance Services,"Financial Service Activities, Except Insurance & Pension Funding","Falls - Slips, Trips & Falls",Means of Access,Means of Access - Stairs or Steps,1
2011,Major,Financial & Insurance Services,"Financial Service Activities, Except Insurance & Pension Funding","Falls - Slips, Trips & Falls",Physical Workplace,Physical Workplace - Floor/Level Surfaces,1
2011,Major,Financial & Insurance Services,"Financial Service Activities, Except Insurance & Pension Funding",Struck by Falling Objects,Others,Others - Goods/Cargo,2
2011,Major,Information & Communications,Radio & Television Broadcasting Activities,Exposure to Electric current,Others,Others - Electrical Installation,1
2011,Major,Manufacturing,"Manufacture of Computer, Electronic & Optical Products",Caught in/ betw Objects,Industrial Machines,Industrial Machines - Others,1
2011,Major,Manufacturing,"Manufacture of Computer, Electronic & Optical Products",Cut/Stabbed by Objects,Industrial Machines,Industrial Machines - Others,1
2011,Major,Manufacturing,"Manufacture of Computer, Electronic & Optical Products",Exposure to Extreme Temperatures,Others,Others,1
2011,Major,Manufacturing,"Manufacture of Computer, Electronic & Optical Products",Falls - Falls from Height,Means of Access,Means of Access - Ladders,1
2011,Major,Manufacturing,"Manufacture of Computer, Electronic & Optical Products","Falls - Slips, Trips & Falls",Physical Workplace,Physical Workplace - Floor/Level Surfaces,2
2011,Major,Manufacturing,"Manufacture of Food, Beverages & Tobacco",Caught in/ betw Objects,Industrial Machines,Industrial Machines - Others,5
2011,Major,Manufacturing,"Manufacture of Food, Beverages & Tobacco",Caught in/ betw Objects,Industrial Machines,Industrial Machines - Saws,1
2011,Major,Manufacturing,"Manufacture of Food, Beverages & Tobacco",Caught in/ betw Objects,Industrial Machines,Industrial Machines - Transmission Machines,1
2011,Major,Manufacturing,"Manufacture of Food, Beverages & Tobacco",Falls - Falls from Height,Lifting Equipment Including Cranes,Lifting Equipment Including Cranes - Mobile Work Platform,1
2011,Major,Manufacturing,"Manufacture of Food, Beverages & Tobacco",Falls - Falls from Height,Physical Workplace,Physical Workplace - Structures,1
2011,Major,Manufacturing,"Manufacture of Food, Beverages & Tobacco","Falls - Slips, Trips & Falls",Physical Workplace,Physical Workplace - Floor/Level Surfaces,3
2011,Major,Manufacturing,"Manufacture of Food, Beverages & Tobacco","Falls - Slips, Trips & Falls",Vehicles,Vehicles - Motor vehicles,1
2011,Major,Manufacturing,Manufacture of Furniture,Cut/Stabbed by Objects,Industrial Machines,Industrial Machines - Saws,4
2011,Major,Manufacturing,Manufacture of Furniture,Others,Others,Others,1
2011,Major,Manufacturing,Manufacture of Furniture,Struck by Falling Objects,Others,Others - Metal Items (excluding knives/needles),1
2011,Major,Manufacturing,Manufacture of Furniture,Struck by Falling Objects,Others,Others - Wooden Items,1
2011,Major,Manufacturing,Metalworking,Caught in/ betw Objects,Industrial Machines,Industrial Machines - Bar Benders,2
2011,Major,Manufacturing,Metalworking,Caught in/ betw Objects,Industrial Machines,Industrial Machines - Drilling Machine,1
2011,Major,Manufacturing,Metalworking,Caught in/ betw Objects,Industrial Machines,Industrial Machines - Lathes or Milling Machine,1
2011,Major,Manufacturing,Metalworking,Caught in/ betw Objects,Industrial Machines,Industrial Machines - Others,3
2011,Major,Manufacturing,Metalworking,Caught in/ betw Objects,Industrial Machines,Industrial Machines - Power Press,2
2011,Major,Manufacturing,Metalworking,Caught in/ betw Objects,Lifting Equipment Including Cranes,Lifting Equipment Including Cranes - Lifting appliances / gears,1
2011,Major,Manufacturing,Metalworking,Caught in/ betw Objects,Lifting Equipment Including Cranes,Lifting Equipment Including Cranes - Others,1
2011,Major,Manufacturing,Metalworking,Caught in/ betw Objects,Others,Others - Metal Items (excluding knives/needles),1
2011,Major,Manufacturing,Metalworking,Cut/Stabbed by Objects,Others,Others - Metal Items (excluding knives/needles),1
2011,Major,Manufacturing,Metalworking,Exposure to Electric current,Others,Others,2
2011,Major,Manufacturing,Metalworking,Exposure to Electric current,Others,Others - Electrical Installation,1
2011,Major,Manufacturing,Metalworking,Exposure to Extreme Temperatures,Others,Others - Hot scalding liquid / Steam,1
2011,Major,Manufacturing,Metalworking,Exposure to Hazardous Substances,Others,Others - Corrosive Substances,1
